Dail 1,Dail 2,Dail 3,Dial 1-Dial 2
0,0,0,0
5,3,2.1,2
6,4,5.4,2
8,5,8,3
11,6,12.2,5
13,7,16.6,6
15,8,19.8,7
16,9,22.2,7
18,9,24.4,9
19,10,26.2,9
20,10,27.8,10
19,10,25.8,9
17,10,23.9,7
16,9,21.7,7
14,9,19.4,5
13,8,17.2,5
12,7,15.2,5
11,6,13.1,5
10,6,11,4
8,5,8.6,3
6,4,5.3,2
0,0,0,0
