Dial 1,Dial 2,Dial 3,Dial 1-Dial 2
0,0,0,0
6,4,5.2,2
8,5,10.4,3
11,5,18.4,6
14,5,25.2,9
18,7,35.6,11
22,8,43.5,14
25,9,50,16
45,10,63,35
90,10,66.6,80
120,10,67.2,110
180,11,67.8,169
270,11,68.2,259
360,11,68.2,349
401,4,68.2,397
