Start Date,1/21/2025 14:35:00
Length,170.00000,mm
Rate 1,0.60000,mm/min
Geometry,Circular
Diameter,8.89000,mm
Final length,1.00000,mm

Time,Extension,Load,Displacement (Strain 1),Strain 1
(sec),(mm),(N),(mm),
0.00000,-0.00083,-649.41645,0.00000,0.00000
0.19380,0.00151,-526.29113,0.00000,0.00000
0.37480,0.00302,-424.74866,0.00000,0.00000
0.60680,0.00578,-293.52903,0.00000,0.00000
0.85380,0.00761,-148.96393,0.00000,0.00000
1.00000,0.00963,-75.59657,0.00000,0.00000
1.05780,0.01081,-42.79017,0.00000,0.00000
1.25680,0.01218,84.14984,0.00000,0.00000
1.47280,0.01441,203.50218,0.00000,0.00000
1.72880,0.01733,346.39835,0.00000,0.00000
1.95480,0.01888,468.07528,0.00000,0.00000
2.00000,0.01929,494.69471,0.00000,0.00000
2.17780,0.02199,594.44904,0.00000,0.00000
2.37180,0.02183,699.25785,0.00000,0.00000
2.59180,0.02529,835.56175,0.00000,0.00000
2.82480,0.02813,960.96992,0.00000,0.00000
3.00000,0.02916,1072.58558,0.00000,0.00000
3.05480,0.02954,1089.09607,0.00000,0.00000
3.28480,0.03267,1217.60368,0.00000,0.00000
3.51880,0.03443,1332.72409,0.00000,0.00000
3.75880,0.03360,1457.10707,0.00000,0.00000
3.95780,0.03901,1584.19609,0.00000,0.00000
4.00000,0.03814,1610.87513,0.00000,0.00000
4.20980,0.04063,1711.86924,0.00000,0.00000
4.42880,0.04271,1833.92763,0.00000,0.00000
4.64880,0.04504,1961.60078,0.00000,0.00000
4.86980,0.04925,2084.41019,0.00000,0.00000
5.00000,0.04829,2159.59549,0.00000,0.00000
5.11980,0.05192,2214.62250,0.00000,0.00000
5.36480,0.05143,2338.56440,0.00000,0.00000
5.59980,0.05517,2460.09827,0.00000,0.00000
5.82780,0.05734,2583.93288,0.00000,0.00000
6.00000,0.05881,2678.50161,0.00000,0.00000
6.04480,0.05928,2715.94524,0.00000,0.00000
6.27780,0.05960,2834.58233,0.00000,0.00000
6.51780,0.06373,2958.55999,0.00000,0.00000
6.74880,0.06676,3091.38298,0.00000,0.00000
