Start Date,1/14/2025 16:31:35
Length,198.00000,mm
Rate 1,0.60000,mm/min
Geometry,Circular
Diameter,8.65000,mm
Final length,1.00000,mm

Time,Extension,Load,Displacement (Strain 1),Strain 1
(sec),(mm),(N),(mm),
22.60080,0.21622,9300.85182,0.00000,0.00000
22.96580,0.21901,9417.67693,0.00000,0.00000
23.00000,0.22094,9429.55017,0.00000,0.00000
23.34280,0.22135,9542.96589,0.00000,0.00000
23.77280,0.22340,9666.33558,0.00000,0.00000
24.00000,0.22618,9735.36968,0.00000,0.00000
24.18480,0.22722,9799.76654,0.00000,0.00000
24.52780,0.22798,9910.65502,0.00000,0.00000
24.87280,0.23319,10040.11631,0.00000,0.00000
25.00000,0.23300,10088.76562,0.00000,0.00000
25.21180,0.23588,10163.22374,0.00000,0.00000
25.53880,0.23826,10292.22012,0.00000,0.00000
25.82780,0.24015,10419.04688,0.00000,0.00000
26.00000,0.24528,10494.54212,0.00000,0.00000
26.12880,0.24368,10541.20064,0.00000,0.00000
26.38080,0.24726,10677.33765,0.00000,0.00000
26.63580,0.24989,10798.19202,0.00000,0.00000
26.90480,0.25206,10922.62268,0.00000,0.00000
27.00000,0.25237,10973.68002,0.00000,0.00000
27.16180,0.25550,11051.16606,0.00000,0.00000
27.42780,0.25912,11174.75033,0.00000,0.00000
27.70580,0.25886,11301.61285,0.00000,0.00000
27.98780,0.26277,11422.78910,0.00000,0.00000
28.00000,0.26398,11434.48353,0.00000,0.00000
28.27780,0.26503,11551.05829,0.00000,0.00000
28.55580,0.26948,11671.96035,0.00000,0.00000
28.86080,0.27153,11796.39101,0.00000,0.00000
29.00000,0.27268,11848.64044,0.00000,0.00000
29.16180,0.27322,11925.86422,0.00000,0.00000
29.46180,0.27829,12043.96486,0.00000,0.00000
29.69580,0.27932,12170.24326,0.00000,0.00000
29.93280,0.28309,12291.87250,0.00000,0.00000
30.00000,0.28309,12340.15226,0.00000,0.00000
30.18080,0.28604,12430.58443,0.00000,0.00000
30.42480,0.28794,12547.86253,0.00000,0.00000
30.65780,0.29358,12674.31974,0.00000,0.00000
30.88680,0.29538,12788.41496,0.00000,0.00000
31.00000,0.29593,12866.99772,0.00000,0.00000
31.09780,0.29762,12926.68581,0.00000,0.00000
31.31080,0.30009,13050.17471,0.00000,0.00000
31.51480,0.30300,13165.23552,0.00000,0.00000
31.72480,0.30444,13291.56160,0.00000,0.00000
31.92580,0.30882,13423.97928,0.00000,0.00000
32.00000,0.31046,13472.86701,0.00000,0.00000
32.11480,0.31216,13546.01383,0.00000,0.00000
32.30880,0.31246,13668.73980,0.00000,0.00000
32.51280,0.31516,13793.84995,0.00000,0.00000
32.73580,0.32172,13918.59055,0.00000,0.00000
32.97380,0.32274,14044.41595,0.00000,0.00000
33.00000,0.32486,14067.61408,0.00000,0.00000
33.20180,0.32565,14174.15142,0.00000,0.00000
33.44780,0.32903,14296.80586,0.00000,0.00000
33.72480,0.33217,14422.71471,0.00000,0.00000
33.99080,0.33543,14556.10991,0.00000,0.00000
34.00000,0.33458,14563.76314,0.00000,0.00000
34.28080,0.33857,14667.90438,0.00000,0.00000
34.57280,0.34241,14791.35752,0.00000,0.00000
34.83480,0.34229,14920.60423,0.00000,0.00000
35.00000,0.34422,14991.90331,0.00000,0.00000
35.11580,0.34622,15044.55805,0.00000,0.00000
35.39380,0.34879,15173.66171,0.00000,0.00000
35.69680,0.35267,15297.00756,0.00000,0.00000
35.99180,0.35384,15423.48862,0.00000,0.00000
36.00000,0.35475,15417.52815,0.00000,0.00000
36.27280,0.35886,15539.82496,0.00000,0.00000
36.56680,0.36105,15676.23615,0.00000,0.00000
36.88980,0.36342,15803.69473,0.00000,0.00000
37.00000,0.36528,15839.32638,0.00000,0.00000
37.21680,0.36747,15935.24218,0.00000,0.00000
37.59880,0.36967,16044.23523,0.00000,0.00000
37.98680,0.37360,16172.25409,0.00000,0.00000
38.00000,0.37332,16177.54698,0.00000,0.00000
38.31580,0.37578,16301.34583,0.00000,0.00000
38.61680,0.38026,16411.92436,0.00000,0.00000
38.91180,0.38132,16535.73513,0.00000,0.00000
39.00000,0.38267,16586.58981,0.00000,0.00000
39.25180,0.38409,16678.48825,0.00000,0.00000
39.57680,0.38587,16791.14103,0.00000,0.00000
39.91580,0.39071,16928.51782,0.00000,0.00000
40.00000,0.38903,16957.75986,0.00000,0.00000
40.29280,0.39358,17048.47813,0.00000,0.00000
40.69080,0.39686,17168.45036,0.00000,0.00000
41.00000,0.39974,17291.48626,0.00000,0.00000
41.01580,0.40008,17297.72091,0.00000,0.00000
41.28880,0.40163,17424.05891,0.00000,0.00000
41.56180,0.40516,17556.05936,0.00000,0.00000
41.84080,0.41010,17667.87767,0.00000,0.00000
42.00000,0.40943,17727.06509,0.00000,0.00000
42.18880,0.41112,17801.17750,0.00000,0.00000
42.57780,0.41310,17921.28086,0.00000,0.00000
42.98580,0.41702,18041.52727,0.00000,0.00000
43.00000,0.41934,18052.88792,0.00000,0.00000
43.41280,0.42093,18170.40443,0.00000,0.00000
43.77880,0.42458,18290.09056,0.00000,0.00000
44.00000,0.42422,18379.93860,0.00000,0.00000
44.09880,0.42556,18418.95580,0.00000,0.00000
44.39880,0.42993,18549.01314,0.00000,0.00000
44.70280,0.43290,18669.18802,0.00000,0.00000
45.00000,0.43478,18788.44500,0.00000,0.00000
45.04680,0.43479,18799.34072,0.00000,0.00000
45.34780,0.43785,18915.52210,0.00000,0.00000
45.66580,0.43963,19051.64719,0.00000,0.00000
45.96280,0.44402,19181.91910,0.00000,0.00000
46.00000,0.44426,19191.39624,0.00000,0.00000
46.25380,0.44652,19291.32938,0.00000,0.00000
46.62580,0.45199,19417.70315,0.00000,0.00000
46.97280,0.45436,19542.05036,0.00000,0.00000
47.00000,0.45417,19556.76079,0.00000,0.00000
47.31780,0.45857,19677.47211,0.00000,0.00000
47.64480,0.45880,19795.63236,0.00000,0.00000
47.93180,0.46317,19926.27382,0.00000,0.00000
48.00000,0.46287,19938.21859,0.00000,0.00000
48.26480,0.46496,20043.39695,0.00000,0.00000
48.52180,0.46814,20163.24997,0.00000,0.00000
48.83480,0.47313,20294.53516,0.00000,0.00000
49.00000,0.47376,20367.02633,0.00000,0.00000
49.10980,0.47649,20419.03734,0.00000,0.00000
49.37580,0.47765,20539.64138,0.00000,0.00000
49.65780,0.48140,20664.84690,0.00000,0.00000
49.98780,0.48359,20795.55988,0.00000,0.00000
50.00000,0.48494,20801.52035,0.00000,0.00000
50.28180,0.48780,20918.14280,0.00000,0.00000
50.55880,0.49058,21052.93274,0.00000,0.00000
50.87780,0.49341,21177.69718,0.00000,0.00000
51.00000,0.49506,21237.33759,0.00000,0.00000
51.11280,0.49722,21300.07744,0.00000,0.00000
51.33880,0.49920,21413.45739,0.00000,0.00000
51.57180,0.50177,21548.30694,0.00000,0.00000
51.80680,0.50556,21665.51352,0.00000,0.00000
52.00000,0.50845,21778.22590,0.00000,0.00000
52.03380,0.50900,21796.88215,0.00000,0.00000
52.28380,0.51425,21915.35234,0.00000,0.00000
52.53180,0.51556,22053.57552,0.00000,0.00000
52.80680,0.51809,22171.65232,0.00000,0.00000
53.00000,0.52086,22265.21969,0.00000,0.00000
53.05980,0.52139,22288.22708,0.00000,0.00000
53.34480,0.52411,22421.07391,0.00000,0.00000
53.62780,0.52699,22545.33768,0.00000,0.00000
53.90580,0.52938,22669.93523,0.00000,0.00000
54.00000,0.52991,22706.73513,0.00000,0.00000
54.19780,0.53426,22802.73438,0.00000,0.00000
54.47280,0.53680,22929.91877,0.00000,0.00000
54.78280,0.53789,23041.02182,0.00000,0.00000
55.00000,0.54209,23126.82867,0.00000,0.00000
55.12580,0.54412,23169.08836,0.00000,0.00000
55.46480,0.54664,23291.24212,0.00000,0.00000
55.83280,0.55016,23412.96673,0.00000,0.00000
56.00000,0.55264,23483.90818,0.00000,0.00000
56.15580,0.55286,23543.34593,0.00000,0.00000
56.54780,0.55845,23683.02345,0.00000,0.00000
56.93780,0.55957,23798.84720,0.00000,0.00000
57.00000,0.55968,23815.96565,0.00000,0.00000
57.30080,0.56359,23916.44716,0.00000,0.00000
57.65280,0.56673,24044.25144,0.00000,0.00000
57.95280,0.56989,24167.20390,0.00000,0.00000
58.00000,0.56947,24177.63472,0.00000,0.00000
58.26880,0.57362,24301.80311,0.00000,0.00000
58.64780,0.57642,24420.04681,0.00000,0.00000
59.00000,0.57858,24530.42269,0.00000,0.00000
59.07580,0.57951,24537.50372,0.00000,0.00000
59.51380,0.58333,24673.25926,0.00000,0.00000
60.00000,0.58851,24788.11741,0.00000,0.00000
60.04680,0.58668,24799.84760,0.00000,0.00000
60.49080,0.59096,24919.10458,0.00000,0.00000
60.85180,0.59319,25044.88230,0.00000,0.00000
61.00000,0.59504,25112.71238,0.00000,0.00000
61.15180,0.59723,25176.04828,0.00000,0.00000
61.51080,0.60015,25293.60056,0.00000,0.00000
61.89780,0.60264,25417.51862,0.00000,0.00000
62.00000,0.60444,25466.13216,0.00000,0.00000
62.21280,0.60784,25548.13623,0.00000,0.00000
62.55680,0.60993,25672.56689,0.00000,0.00000
62.90280,0.61342,25792.64641,0.00000,0.00000
63.00000,0.61531,25834.53655,0.00000,0.00000
63.25680,0.61738,25921.13018,0.00000,0.00000
63.57080,0.61988,26045.26281,0.00000,0.00000
63.89280,0.62426,26171.02861,0.00000,0.00000
64.00000,0.62487,26215.13605,0.00000,0.00000
64.22680,0.62963,26295.86458,0.00000,0.00000
64.72180,0.63345,26419.50846,0.00000,0.00000
65.00000,0.63666,26504.64773,0.00000,0.00000
65.14680,0.63992,26545.97759,0.00000,0.00000
66.00000,0.65390,26598.82307,0.00000,0.00000
66.52480,0.65941,26430.92871,0.00000,0.00000
66.82480,0.66622,26303.05290,0.00000,0.00000
67.00000,0.67031,26237.02288,0.00000,0.00000
67.28280,0.67565,26182.61576,0.00000,0.00000
68.00000,0.68627,26137.42352,0.00000,0.00000
69.00000,0.70353,26220.15476,0.00000,0.00000
69.79680,0.71561,26288.21135,0.00000,0.00000
70.00000,0.71978,26315.92751,0.00000,0.00000
71.00000,0.73301,26389.96840,0.00000,0.00000
71.32880,0.73739,26405.41792,0.00000,0.00000
72.00000,0.74542,26421.34428,0.00000,0.00000
73.00000,0.75467,26436.81765,0.00000,0.00000
74.00000,0.76379,26416.76664,0.00000,0.00000
75.00000,0.77004,26385.76031,0.00000,0.00000
75.79580,0.77494,26306.77223,0.00000,0.00000
76.00000,0.77593,26297.59312,0.00000,0.00000
77.00000,0.78090,26243.19792,0.00000,0.00000
77.73480,0.78543,26177.81162,0.00000,0.00000
78.00000,0.78506,26154.41084,0.00000,0.00000
79.00000,0.78967,26087.52251,0.00000,0.00000
79.77780,0.79215,26066.24365,0.00000,0.00000
80.00000,0.79340,26053.33328,0.00000,0.00000
81.00000,0.79853,26017.55857,0.00000,0.00000
82.00000,0.80232,25997.12610,0.00000,0.00000
83.00000,0.81472,26081.46667,0.00000,0.00000
84.00000,0.82448,26042.89055,0.00000,0.00000
85.00000,0.83584,26028.41854,0.00000,0.00000
86.00000,0.84832,26045.23897,0.00000,0.00000
87.00000,0.86084,26068.83049,0.00000,0.00000
87.88280,0.86941,26174.44992,0.00000,0.00000
88.00000,0.87253,26182.91378,0.00000,0.00000
89.00000,0.88409,26203.17936,0.00000,0.00000
90.00000,0.89546,26224.72048,0.00000,0.00000
91.00000,0.90650,26234.48372,0.00000,0.00000
92.00000,0.91667,26198.60172,0.00000,0.00000
93.00000,0.92714,26137.70962,0.00000,0.00000
94.00000,0.93828,26064.74161,0.00000,0.00000
94.14680,0.94016,26056.94532,0.00000,0.00000
95.00000,0.95012,26044.85750,0.00000,0.00000
96.00000,0.96207,25940.50169,0.00000,0.00000
96.02480,0.96055,25937.52146,0.00000,0.00000
97.00000,0.97268,25884.53293,0.00000,0.00000
98.00000,0.98171,25880.59902,0.00000,0.00000
99.00000,0.99229,25882.13682,0.00000,0.00000
100.00000,1.00399,25890.11192,0.00000,0.00000
101.00000,1.01605,25856.45914,0.00000,0.00000
101.94680,1.02723,25813.79414,0.00000,0.00000
102.00000,1.02637,25806.88000,0.00000,0.00000
103.00000,1.03680,25787.58001,0.00000,0.00000
104.00000,1.04653,25758.37374,0.00000,0.00000
105.00000,1.05329,25741.17184,0.00000,0.00000
106.00000,1.06257,25754.91667,0.00000,0.00000
107.00000,1.07063,25766.34884,0.00000,0.00000
108.00000,1.07662,25758.82673,0.00000,0.00000
109.00000,1.08352,25727.55814,0.00000,0.00000
110.00000,1.09004,25743.46066,0.00000,0.00000
111.00000,1.10084,25745.57066,0.00000,0.00000
112.00000,1.10635,25764.54878,0.00000,0.00000
113.00000,1.11454,25781.34537,0.00000,0.00000
114.00000,1.12192,25832.45039,0.00000,0.00000
115.00000,1.13088,25842.17787,0.00000,0.00000
116.00000,1.13919,25795.36438,0.00000,0.00000
117.00000,1.14820,25861.17983,0.00000,0.00000
118.00000,1.15975,25894.72532,0.00000,0.00000
